Area live-in Satisfaction,Nearby Places,Area related Info,Area Sanitation(1-5),Nature,MentalPeace,Reaction on lack of something,Free time activities,GoOut,Stress Management,Descrimination,Outing Preference,Residence
Yeah it is in general a great place with almost every necessary thing availible,Parks;Mosques,"Social, Quiet, Private",4,Extrovert,No,Fight for it,Socialize,Once or twice a week,Calmly assess the situation and work towards a solution,Never talk about that topic,Desi,Green Park City
No..because of the behavior of people ,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",1,Ambivert,Yes,Fight for it,Kill time,Once or twice a week,Go with the flow,Try to change the other person's view,KFC,Shah Faisal Colony
I am not totally satisfied as all the things are perfectly fine there except the electricity.,Parks;Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",4,Introvert,No,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Never talk about that topic,Dominos,Surjani town
"No, bcz the condition of roads is miserable. ",Parks,"Social, Quiet, Private",3,Ambivert,Yes,Fight for it,Socialize,Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Dominos,Gulshan-e-Rafi Malir
Yes.,Parks;Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",5,Ambivert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,Ginsoy,Gulshan e Iqbal
Yep,Restaraunts;Grocery Stores;Mosques,"Social, Quiet, Private",3,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,KFC,North Nazimabad
Yes alhamdulillah no shortage of water n electricity issue here,Restaraunts;Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Ginsoy,Gulshan e Iqbal
"Yes .. 
All basic necessaries are there lie water,gas,no electricity shutdown and every is available ..",Parks;Grocery Stores;Mosques,"Social, Quiet, Private",4,Ambivert,Yes,Fight for it,Socialize,Once or twice a month,Calmly assess the situation and work towards a solution,Talk about the topic respecting eachother's views,Desi,Gulistan e jauhar
"YES,ALHAMDULILLAH.",Grocery Stores;Mosques,"Social, Noisy, Public",3,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Aylanto,North Karachi
"yes, ALHAMDULILLAH ",Parks;Restaraunts;Mosques,"Social, Noisy, Public",2,Introvert,Yes,Pursue something else,"Pursue hobbies (Sports, Reading, Painting etc)",Once or twice a month,Go with the flow,Talk about the topic respecting eachother's views,Aylanto,North Karachi
Yee,Grocery Stores;Mosques;Recreational Clubs,"Social, Quiet, Private",3,Ambivert,Yes,Fight for it,"Pursue hobbies (Sports, Reading, Painting etc)",Rarely,Get stressed and rush towards the first way out,Talk about the topic respecting eachother's views,KFC,North Nazimabad
